UserID,Username,Email,Password,ProfilePicture,Role
1,alice.smith,alice.smith@example.com,password1,cat.jpg,User
2,bob.johnson,bob.johnson@example.com,password2,dog.jpg,Admin
3,charlie.brown,charlie.brown@example.com,password3,hippo.jpg,User
4,david.wilson,david.wilson@example.com,password4,omega.jpg,User
5,eve.davis,eve.davis@example.com,password5,xd.jpg,Admin
6,frank.miller,frank.miller@example.com,password6,pro.jpg,User
7,grace.moore,grace.moore@example.com,password7,file.jpg,User
8,hank.taylor,hank.taylor@example.com,password8,nag.jpg,Admin
9,irene.anderson,irene.anderson@example.com,password9,n9ne.jpg,User
10,jack.thomas,jack.thomas@example.com,password10,ele.jpg,User
11,kathy.white,kathy.white@example.com,password11,malgo.jpg,Admin
12,leo.harris,leo.harris@example.com,password12,money.jpg,User
13,mary.clark,mary.clark@example.com,password13,bread.jpg,User
14,nathan.lewis,nathan.lewis@example.com,password14,lmao.jpg,Admin
15,olivia.walker,olivia.walker@example.com,password15,kekw.jpg,User
16,peter.young,peter.young@example.com,password16,123.jpg,User
17,quincy.king,quincy.king@example.com,password17,koke.jpg,Admin
18,rachel.scott,rachel.scott@example.com,password18,man.jpg,User
19,steve.green,steve.green@example.com,password19,you.jpg,User
20,tina.baker,tina.baker@example.com,password20,i.jpg,Admin
